Number of primes 300
Starting place 255
node 0, value 3, smaller -1, larger -1
node 97, value 523, smaller 96, larger 98
node 98, value 541, smaller -1, larger -1
node 99, value 547, smaller 97, larger 101
node 100, value 557, smaller -1, larger -1
node 101, value 563, smaller 100, larger 102
node 102, value 569, smaller -1, larger -1
node 103, value 571, smaller 99, larger 107
node 104, value 577, smaller -1, larger -1
node 105, value 587, smaller 104, larger 106
node 106, value 593, smaller -1, larger -1
node 107, value 599, smaller 105, larger 109
node 108, value 601, smaller -1, larger -1
node 109, value 607, smaller 108, larger 110
node 110, value 613, smaller -1, larger -1
node 111, value 617, smaller 103, larger 119
node 112, value 619, smaller -1, larger -1
node 113, value 631, smaller 112, larger 114
node 114, value 641, smaller -1, larger -1
node 115, value 643, smaller 113, larger 117
node 116, value 647, smaller -1, larger -1
node 117, value 653, smaller 116, larger 118
node 118, value 659, smaller -1, larger -1
node 119, value 661, smaller 115, larger 123
node 120, value 673, smaller -1, larger -1
node 121, value 677, smaller 120, larger 122
node 122, value 683, smaller -1, larger -1
node 123, value 691, smaller 121, larger 125
node 124, value 701, smaller -1, larger -1
node 125, value 709, smaller 124, larger 126
node 126, value 719, smaller -1, larger -1
node 127, value 727, smaller 63, larger 191
node 128, value 733, smaller -1, larger -1
node 129, value 739, smaller 128, larger 130
node 130, value 743, smaller -1, larger -1
node 131, value 751, smaller 129, larger 133
node 132, value 757, smaller -1, larger -1
node 133, value 761, smaller 132, larger 134
node 134, value 769, smaller -1, larger -1
node 135, value 773, smaller 131, larger 139
node 136, value 787, smaller -1, larger -1
node 137, value 797, smaller 136, larger 138
node 138, value 809, smaller -1, larger -1
node 139, value 811, smaller 137, larger 141
node 140, value 821, smaller -1, larger -1
node 141, value 823, smaller 140, larger 142
node 142, value 827, smaller -1, larger -1
node 143, value 829, smaller 135, larger 151
node 144, value 839, smaller -1, larger -1
node 145, value 853, smaller 144, larger 146
node 146, value 857, smaller -1, larger -1
node 147, value 859, smaller 145, larger 149
node 148, value 863, smaller -1, larger -1
node 149, value 877, smaller 148, larger 150
node 150, value 881, smaller -1, larger -1
node 151, value 883, smaller 147, larger 155
node 152, value 887, smaller -1, larger -1
node 153, value 907, smaller 152, larger 154
node 154, value 911, smaller -1, larger -1
node 155, value 919, smaller 153, larger 157
node 156, value 929, smaller -1, larger -1
node 157, value 937, smaller 156, larger 158
node 158, value 941, smaller -1, larger -1
node 159, value 947, smaller 143, larger 175
node 160, value 953, smaller -1, larger -1
node 161, value 967, smaller 160, larger 162
node 162, value 971, smaller -1, larger -1
node 163, value 977, smaller 161, larger 165
node 164, value 983, smaller -1, larger -1
node 165, value 991, smaller 164, larger 166
node 166, value 997, smaller -1, larger -1
node 167, value 1009, smaller 163, larger 171
node 168, value 1013, smaller -1, larger -1
node 169, value 1019, smaller 168, larger 170
node 170, value 1021, smaller -1, larger -1
node 171, value 1031, smaller 169, larger 173
node 172, value 1033, smaller -1, larger -1
node 173, value 1039, smaller 172, larger 174
node 174, value 1049, smaller -1, larger -1
node 175, value 1051, smaller 167, larger 183
node 176, value 1061, smaller -1, larger -1
node 177, value 1063, smaller 176, larger 178
node 178, value 1069, smaller -1, larger -1
node 179, value 1087, smaller 177, larger 181
node 180, value 1091, smaller -1, larger -1
node 181, value 1093, smaller 180, larger 182
node 182, value 1097, smaller -1, larger -1
node 183, value 1103, smaller 179, larger 187
node 184, value 1109, smaller -1, larger -1
node 185, value 1117, smaller 184, larger 186
node 186, value 1123, smaller -1, larger -1
node 187, value 1129, smaller 185, larger 189
node 188, value 1151, smaller -1, larger -1
node 189, value 1153, smaller 188, larger 190
node 190, value 1163, smaller -1, larger -1
node 191, value 1171, smaller 159, larger 223
node 192, value 1181, smaller -1, larger -1
node 193, value 1187, smaller 192, larger 194
node 194, value 1193, smaller -1, larger -1
node 195, value 1201, smaller 193, larger 197
node 196, value 1213, smaller -1, larger -1
node 197, value 1217, smaller 196, larger 198
node 198, value 1223, smaller -1, larger -1
node 199, value 1229, smaller 195, larger 203
node 200, value 1231, smaller -1, larger -1
node 201, value 1237, smaller 200, larger 202
node 202, value 1249, smaller -1, larger -1
node 203, value 1259, smaller 201, larger 205
node 204, value 1277, smaller -1, larger -1
node 205, value 1279, smaller 204, larger 206
node 206, value 1283, smaller -1, larger -1
node 207, value 1289, smaller 199, larger 215
node 208, value 1291, smaller -1, larger -1
node 209, value 1297, smaller 208, larger 210
node 210, value 1301, smaller -1, larger -1
node 211, value 1303, smaller 209, larger 213
node 212, value 1307, smaller -1, larger -1
node 213, value 1319, smaller 212, larger 214
node 214, value 1321, smaller -1, larger -1
node 215, value 1327, smaller 211, larger 219
node 216, value 1361, smaller -1, larger -1
node 217, value 1367, smaller 216, larger 218
node 218, value 1373, smaller -1, larger -1
node 219, value 1381, smaller 217, larger 221
node 220, value 1399, smaller -1, larger -1
node 221, value 1409, smaller 220, larger 222
node 222, value 1423, smaller -1, larger -1
node 223, value 1427, smaller 207, larger 239
node 224, value 1429, smaller -1, larger -1
node 225, value 1433, smaller 224, larger 226
node 226, value 1439, smaller -1, larger -1
node 227, value 1447, smaller 225, larger 229
node 228, value 1451, smaller -1, larger -1
node 229, value 1453, smaller 228, larger 230
node 230, value 1459, smaller -1, larger -1
node 231, value 1471, smaller 227, larger 235
node 232, value 1481, smaller -1, larger -1
node 233, value 1483, smaller 232, larger 234
node 234, value 1487, smaller -1, larger -1
node 235, value 1489, smaller 233, larger 237
node 236, value 1493, smaller -1, larger -1
node 237, value 1499, smaller 236, larger 238
node 238, value 1511, smaller -1, larger -1
node 239, value 1523, smaller 231, larger 247
node 240, value 1531, smaller -1, larger -1
node 241, value 1543, smaller 240, larger 242
node 242, value 1549, smaller -1, larger -1
node 243, value 1553, smaller 241, larger 245
node 244, value 1559, smaller -1, larger -1
node 245, value 1567, smaller 244, larger 246
node 246, value 1571, smaller -1, larger -1
node 247, value 1579, smaller 243, larger 251
node 248, value 1583, smaller -1, larger -1
node 249, value 1597, smaller 248, larger 250
node 250, value 1601, smaller -1, larger -1
node 251, value 1607, smaller 249, larger 253
node 252, value 1609, smaller -1, larger -1
node 253, value 1613, smaller 252, larger 254
node 254, value 1619, smaller -1, larger -1
node 255, value 1621, smaller 127, larger 287
node 256, value 1627, smaller -1, larger -1
node 257, value 1637, smaller 256, larger 258
node 258, value 1657, smaller -1, larger -1
node 259, value 1663, smaller 257, larger 261
node 260, value 1667, smaller -1, larger -1
node 261, value 1669, smaller 260, larger 262
node 262, value 1693, smaller -1, larger -1
node 263, value 1697, smaller 259, larger 267
node 264, value 1699, smaller -1, larger -1
node 265, value 1709, smaller 264, larger 266
node 266, value 1721, smaller -1, larger -1
node 267, value 1723, smaller 265, larger 269
node 268, value 1733, smaller -1, larger -1
node 269, value 1741, smaller 268, larger 270
node 270, value 1747, smaller -1, larger -1
node 271, value 1753, smaller 263, larger 279
node 272, value 1759, smaller -1, larger -1
node 273, value 1777, smaller 272, larger 274
node 274, value 1783, smaller -1, larger -1
node 275, value 1787, smaller 273, larger 277
node 276, value 1789, smaller -1, larger -1
node 277, value 1801, smaller 276, larger 278
node 278, value 1811, smaller -1, larger -1
node 279, value 1823, smaller 275, larger 283
node 280, value 1831, smaller -1, larger -1
node 281, value 1847, smaller 280, larger 282
node 282, value 1861, smaller -1, larger -1
node 283, value 1867, smaller 281, larger 285
node 284, value 1871, smaller -1, larger -1
node 285, value 1873, smaller 284, larger 286
node 286, value 1877, smaller -1, larger -1
node 287, value 1879, smaller 271, larger 295
node 288, value 1889, smaller -1, larger -1
node 289, value 1901, smaller 288, larger 290
node 290, value 1907, smaller -1, larger -1
node 291, value 1913, smaller 289, larger 293
node 292, value 1931, smaller -1, larger -1
node 293, value 1933, smaller 292, larger 294
node 294, value 1949, smaller -1, larger -1
node 295, value 1951, smaller 291, larger 299
node 296, value 1973, smaller -1, larger -1
node 297, value 1979, smaller 296, larger 298
node 298, value 1987, smaller -1, larger -1
node 299, value 1993, smaller 297, larger -1
256 = 5 + 251
512 = 3 + 509
768 = 7 + 761
1024 = 3 + 1021
1280 = 3 + 1277
1536 = 5 + 1531
1792 = 3 + 1789
2048 = 61 + 1987
2304 = 311 + 1993
2560 = 587 + 1973
2816 = 823 + 1993
3072 = 1093 + 1979
3328 = 1427 + 1901
3584 = 1597 + 1987
No Solution for 3836
